scientific_name,sti_celsius,n_valid,confidence
Sibirionetta formosa,14.79,300,High
Sitta europaea,6.50,299,High
Spatula clypeata,15.49,298,High
Spinus spinus,11.19,300,High
Spodiopsar cineraceus,15.50,299,High
Sterna sumatrana,22.60,262,High
Streptopelia orientalis,15.50,298,High
Strix uralensis,10.40,300,High
Sula dactylatra,23.74,12,Medium
Sula leucogaster,16.25,111,High
Sula sula,23.74,7,Low
Syrmaticus soemmerringii,11.14,300,High
Tachybaptus ruficollis,15.06,300,High
Tarsiger cyanurus,14.48,300,High
Terpsiphone atrocaudata,16.34,297,High
Treron formosae,21.46,276,High
Treron sieboldii,15.35,299,High
Tringa brevipes,15.71,293,High
Tringa glareola,19.19,286,High
Tringa ochropus,15.98,300,High
Troglodytes troglodytes,9.31,300,High
Turdus cardis,10.85,299,High
Turdus chrysolaus,15.28,299,High
Turdus eunomus,15.28,299,High
Turdus naumanni,15.02,298,High
Turdus obscurus,14.24,294,High
Turdus pallidus,15.14,299,High
Turdus pilaris,13.61,47,High
Urosphena squameiceps,13.84,300,High
Vanellus vanellus,16.22,299,High
Yungipicus kizuki,14.88,299,High
Zoothera aurea,14.48,291,High
Zosterops japonicus,15.50,295,High
