species,station_id,station_name,n_years,first_year,last_year,mean_doy,ols_slope,ols_decade,ols_r,ols_p,gls_slope,gls_se,gls_p,ar1_rho,gls_transition
たんぽぽの開花,小名浜,598,55,1953,2008,75.1,-0.20789,-2.079,-0.2400,0.077594,-0.16976,0.16410,0.305692,0.3137,
たんぽぽの開花,輪島,600,58,1953,2010,97.0,-0.26968,-2.697,-0.4484,0.000415,-0.23507,0.09580,0.017333,0.2612,
たんぽぽの開花,相川,602,55,1953,2007,95.5,-0.09120,-0.912,-0.1491,0.277394,-0.07101,0.10378,0.496852,0.1882,
たんぽぽの開花,新潟,604,63,1954,2020,102.7,0.07005,0.700,0.1738,0.173185,0.05060,0.06108,0.410750,0.1540,
たんぽぽの開花,金沢,605,66,1953,2020,95.0,0.09159,0.916,0.1698,0.172864,0.09610,0.07609,0.211241,0.1027,
たんぽぽの開花,富山,607,62,1953,2020,96.8,0.09981,0.998,0.2701,0.033739,0.11080,0.05348,0.042661,0.1275,
たんぽぽの開花,長野,610,68,1953,2020,94.0,-0.05861,-0.586,-0.1690,0.168409,-0.06085,0.04713,0.201183,0.0832,
たんぽぽの開花,高田,612,55,1953,2007,105.8,-0.30642,-3.064,-0.4745,0.000252,-0.32206,0.09695,0.001642,0.1794,
たんぽぽの開花,宇都宮,615,68,1953,2020,85.4,-0.06388,-0.639,-0.1481,0.228026,-0.08240,0.06655,0.220063,0.2102,
たんぽぽの開花,福井,616,54,1953,2020,99.1,-0.06206,-0.621,-0.1065,0.443322,-0.06842,0.10733,0.526671,0.2337,
たんぽぽの開花,高山,617,53,1953,2005,104.8,-0.35543,-3.554,-0.5089,0.000100,-0.38416,0.14286,0.009712,0.4605,
たんぽぽの開花,松本,618,54,1953,2007,98.3,0.21408,2.141,0.4380,0.000924,0.21113,0.05831,0.000675,-0.0796,
たんぽぽの開花,前橋,624,68,1953,2020,81.9,-0.21745,-2.174,-0.3573,0.002779,-0.20834,0.10344,0.048143,0.3505,
たんぽぽの開花,熊谷,626,67,1953,2020,78.5,-0.33256,-3.326,-0.4661,0.000070,-0.33692,0.12045,0.006802,0.3802,
たんぽぽの開花,水戸,629,68,1953,2020,73.5,0.15698,1.570,0.2072,0.090038,0.16147,0.11619,0.169341,0.2090,
たんぽぽの開花,敦賀,631,52,1953,2005,91.6,0.24483,2.448,0.3246,0.018888,0.26325,0.14333,0.072334,0.3057,sig_to_ns
たんぽぽの開花,岐阜,632,62,1955,2020,68.2,-0.19534,-1.953,-0.2535,0.046835,-0.22165,0.08520,0.011712,-0.1397,
たんぽぽの開花,名古屋,636,67,1954,2020,64.7,-0.45670,-4.567,-0.4655,0.000072,-0.46351,0.14508,0.002172,0.2614,
たんぽぽの開花,飯田,637,54,1953,2006,80.7,0.07791,0.779,0.1198,0.388214,0.09291,0.14586,0.526994,0.4231,
たんぽぽの開花,甲府,638,61,1953,2020,76.7,-0.08021,-0.802,-0.1542,0.235407,-0.08584,0.07634,0.265454,0.0969,
たんぽぽの開花,銚子,648,66,1954,2020,70.6,0.03865,0.386,0.0459,0.714665,0.05578,0.15448,0.719248,0.3396,
たんぽぽの開花,津,651,67,1953,2020,81.0,-0.18290,-1.829,-0.2943,0.015618,-0.18523,0.09481,0.055109,0.2182,sig_to_ns
たんぽぽの開花,浜松,654,50,1953,2005,57.1,-0.71329,-7.133,-0.5636,0.000020,-0.70104,0.20182,0.001113,0.2453,
たんぽぽの開花,静岡,656,55,1953,2020,46.9,-0.31472,-3.147,-0.1439,0.294571,-0.28935,0.30678,0.349948,-0.0081,
たんぽぽの開花,東京,662,10,2007,2016,89.4,0.59394,5.939,0.4017,0.249934,0.47532,0.66785,0.499664,0.1213,
たんぽぽの開花,尾鷲,663,30,1975,2006,75.6,0.21601,2.160,0.1841,0.330141,0.32003,0.20839,0.136244,-0.0626,
たんぽぽの開花,横浜,670,35,1955,2020,117.5,2.00117,20.012,0.2033,0.241385,2.68801,3.33627,0.426367,0.3772,
たんぽぽの開花,館山,672,30,1969,2006,54.2,0.31496,3.150,0.2900,0.120055,0.33882,0.19117,0.087629,-0.0866,
たんぽぽの開花,大島,675,56,1953,2009,54.2,0.60742,6.074,0.5001,0.000087,0.68138,0.13450,0.000005,-0.0451,
たんぽぽの開花,三宅島,677,12,1955,2000,84.4,-0.03482,-0.348,-0.0059,0.985489,-1.22826,1.90547,0.535270,-0.1924,
たんぽぽの開花,八丈島,678,42,1966,2009,46.1,-1.85347,-18.535,-0.2680,0.086164,-1.05350,0.82626,0.209845,-0.1356,
たんぽぽの開花,西郷,740,56,1953,2008,89.4,-0.10191,-1.019,-0.1508,0.267219,-0.06893,0.12537,0.584731,0.2848,
たんぽぽの開花,松江,741,46,1960,2020,66.5,0.26827,2.683,0.2884,0.051971,0.23893,0.19502,0.227177,0.3012,
たんぽぽの開花,米子,744,53,1954,2008,84.4,-0.57989,-5.799,-0.4868,0.000218,-0.68443,0.21464,0.002466,0.3499,
たんぽぽの開花,鳥取,746,65,1954,2020,71.4,-0.42043,-4.204,-0.4693,0.000080,-0.44214,0.13275,0.001463,0.2497,
たんぽぽの開花,豊岡,747,43,1963,2007,86.9,-0.13799,-1.380,-0.1323,0.397766,-0.09914,0.15402,0.523466,-0.0880,
たんぽぽの開花,舞鶴,750,59,1955,2013,84.5,0.06598,0.660,0.0736,0.579395,0.06294,0.17359,0.718290,0.3350,
たんぽぽの開花,浜田,755,43,1965,2007,57.4,0.30927,3.093,0.2104,0.175575,0.33790,0.23269,0.154257,-0.0087,
たんぽぽの開花,京都,759,66,1953,2020,60.3,-0.06844,-0.684,-0.0757,0.545669,-0.06296,0.16094,0.696965,0.3141,
たんぽぽの開花,彦根,761,65,1953,2020,71.2,-0.09566,-0.957,-0.1321,0.294041,-0.11153,0.12847,0.388679,0.3117,
たんぽぽの開花,下関,762,60,1953,2020,72.3,0.22683,2.268,0.4272,0.000664,0.21246,0.09032,0.022136,0.3104,
たんぽぽの開花,広島,765,66,1953,2020,67.4,0.40758,4.076,0.1980,0.110959,0.40806,0.24583,0.101898,-0.0576,
たんぽぽの開花,岡山,768,67,1953,2020,79.5,0.16173,1.617,0.2927,0.016245,0.16748,0.11592,0.153385,0.4939,sig_to_ns
たんぽぽの開花,神戸,770,66,1953,2018,84.3,-0.00127,-0.013,-0.0021,0.986480,0.01880,0.10920,0.863851,0.3368,
たんぽぽの開花,大阪,772,53,1953,2020,74.4,-0.50033,-5.003,-0.4934,0.000174,-0.63455,0.19172,0.001737,0.3659,
たんぽぽの開花,洲本,776,48,1954,2002,76.6,-0.23014,-2.301,-0.2339,0.109582,-0.34953,0.18107,0.059872,0.2633,
たんぽぽの開花,和歌山,777,53,1962,2020,67.6,-0.42620,-4.262,-0.4659,0.000438,-0.51159,0.18171,0.006951,0.4314,
たんぽぽの開花,潮岬,778,49,1955,2009,62.9,0.20851,2.085,0.2727,0.057966,0.12162,0.13556,0.374328,0.2284,
たんぽぽの開花,奈良,780,67,1954,2020,75.7,0.07523,0.752,0.1209,0.329697,0.07585,0.08374,0.368455,0.0588,
たんぽぽの開花,厳原,800,56,1954,2009,80.2,-0.01497,-0.150,-0.0267,0.845392,0.00730,0.09347,0.938054,0.1700,
たんぽぽの開花,福岡,807,65,1953,2020,65.8,-0.39410,-3.941,-0.5165,0.000011,-0.43512,0.11131,0.000232,0.2689,
たんぽぽの開花,佐賀,813,56,1953,2020,64.4,-0.03140,-0.314,-0.0532,0.696803,-0.03969,0.11542,0.732279,0.2937,
たんぽぽの開花,長崎,817,68,1953,2020,57.1,-0.74507,-7.451,-0.6259,0.000000,-0.75635,0.21220,0.000690,0.5292,
たんぽぽの開花,熊本,819,18,1956,1995,55.9,0.10144,1.014,0.1108,0.661519,0.07299,0.19970,0.719858,-0.2561,
たんぽぽの開花,延岡,822,21,1962,1986,206.6,2.33520,23.352,0.1209,0.601775,-0.09958,5.61281,0.986040,0.1781,
たんぽぽの開花,鹿児島,827,26,1954,2016,59.2,-0.56214,-5.621,-0.1567,0.444602,-0.60897,0.69957,0.393030,-0.1169,
たんぽぽの開花,宮崎,830,20,1960,1988,50.1,-0.10589,-1.059,-0.1199,0.614501,-0.22011,0.16971,0.211976,-0.2347,
たんぽぽの開花,屋久島,836,11,1953,1965,57.5,-0.04171,-0.417,-0.0135,0.968557,-0.17196,0.54103,0.758748,-0.6699,
たんぽぽの開花,種子島,837,41,1953,1999,38.0,-0.82364,-8.236,-0.2180,0.170838,-0.94807,0.48899,0.059975,-0.2192,
たんぽぽの開花,福江,843,43,1954,1998,73.2,0.21720,2.172,0.1658,0.287845,0.03185,0.44143,0.942833,0.6214,
たんぽぽの開花,松山,887,56,1953,2020,61.9,0.12200,1.220,0.0410,0.764409,0.13459,0.36951,0.717135,-0.1291,
たんぽぽの開花,高松,891,62,1954,2020,74.9,0.70252,7.025,0.1842,0.151728,0.75449,0.79418,0.345977,0.4312,
たんぽぽの開花,宇和島,892,23,1953,2005,55.3,-0.49182,-4.918,-0.6775,0.000383,-0.48585,0.12841,0.001167,0.0315,
たんぽぽの開花,高知,893,42,1956,2020,45.6,-0.92334,-9.233,-0.6055,0.000022,-0.99759,0.18375,0.000003,-0.1740,
たんぽぽの開花,徳島,895,68,1953,2020,68.0,-0.73438,-7.344,-0.6923,0.000000,-0.73449,0.10106,0.000000,0.0401,
あじさいの開花,稚内,401,33,1991,2024,222.6,-0.50428,-5.043,-0.5791,0.000414,-0.52369,0.13089,0.000381,-0.0380,
あじさいの開花,留萌,406,26,1983,2008,204.2,-0.16137,-1.614,-0.3194,0.111762,-0.13926,0.09428,0.153207,-0.1018,
あじさいの開花,旭川,407,39,1985,2024,201.5,-0.24709,-2.471,-0.5325,0.000484,-0.20580,0.09113,0.030094,0.3243,
あじさいの開花,網走,409,37,1983,2024,218.3,-0.45376,-4.538,-0.6301,0.000029,-0.43207,0.08871,0.000025,-0.1147,
あじさいの開花,札幌,412,40,1984,2024,196.9,-0.31787,-3.179,-0.7737,0.000000,-0.33963,0.05268,0.000000,0.1825,
あじさいの開花,岩見沢,413,24,1983,2006,206.1,-0.10304,-1.030,-0.1755,0.412170,-0.04794,0.09527,0.620062,-0.2651,
あじさいの開花,帯広,417,27,1987,2024,211.5,-0.23961,-2.396,-0.3361,0.086514,-0.29406,0.21294,0.180024,0.3431,
あじさいの開花,室蘭,423,39,1983,2024,217.9,-0.31163,-3.116,-0.4379,0.005302,-0.30660,0.11551,0.011759,0.0397,
あじさいの開花,浦河,426,26,1984,2009,215.0,0.01470,0.147,0.0179,0.930926,0.02648,0.17778,0.882883,-0.0217,
あじさいの開花,函館,430,37,1983,2024,199.8,-0.45404,-4.540,-0.6944,0.000002,-0.43437,0.12523,0.001439,0.3811,
あじさいの開花,倶知安,433,22,1983,2006,208.2,0.04934,0.493,0.0735,0.745169,-0.02603,0.12234,0.833751,-0.2763,
あじさいの開花,紋別,435,24,1984,2007,218.6,-0.40130,-4.013,-0.3659,0.078714,-0.55243,0.36218,0.142106,0.4129,
あじさいの開花,新庄,520,15,1983,1997,194.1,0.02500,0.250,0.0228,0.935746,-0.32735,0.29914,0.295303,0.0802,
あじさいの開花,青森,575,52,1965,2024,195.8,-0.33122,-3.312,-0.6563,0.000000,-0.39251,0.10291,0.000383,0.5316,
あじさいの開花,八戸,581,25,1983,2007,198.7,-0.21846,-2.185,-0.2190,0.292792,-0.22513,0.23132,0.341027,0.0476,
あじさいの開花,秋田,582,45,1980,2024,184.5,-0.50198,-5.020,-0.8408,0.000000,-0.52977,0.07534,0.000000,0.3682,
あじさいの開花,盛岡,584,42,1983,2024,187.4,-0.15947,-1.595,-0.3862,0.011524,-0.23442,0.07978,0.005515,0.3090,
あじさいの開花,宮古,585,28,1980,2007,194.5,-0.37192,-3.719,-0.4744,0.010756,-0.43621,0.11207,0.000653,-0.1970,
あじさいの開花,酒田,587,26,1983,2009,184.0,-0.02889,-0.289,-0.0576,0.779749,-0.07871,0.10014,0.439878,-0.0526,
あじさいの開花,山形,588,62,1953,2024,181.4,0.08524,0.852,0.2519,0.048241,0.09995,0.05428,0.070614,0.2503,sig_to_ns
あじさいの開花,仙台,590,66,1956,2024,178.8,0.10599,1.060,0.2520,0.041226,0.04122,0.07897,0.603506,0.4210,sig_to_ns
あじさいの開花,福島,595,50,1969,2023,175.4,-0.03109,-0.311,-0.0570,0.694174,-0.11651,0.13984,0.408965,0.4825,
あじさいの開花,白河,597,45,1953,1997,190.4,0.01107,0.111,0.0217,0.887551,-0.00913,0.07692,0.906117,-0.0426,
あじさいの開花,小名浜,598,53,1953,2008,170.8,0.12477,1.248,0.2220,0.110190,0.26792,0.17540,0.132951,0.6686,
あじさいの開花,輪島,600,47,1964,2010,174.5,0.29313,2.931,0.6447,0.000001,0.34084,0.09203,0.000590,0.5051,
あじさいの開花,相川,602,25,1982,2006,177.4,-0.34077,-3.408,-0.3784,0.062138,-0.47812,0.15468,0.005335,-0.0638,ns_to_sig
あじさいの開花,新潟,604,58,1966,2024,172.9,0.04289,0.429,0.1476,0.268739,0.02588,0.05481,0.638657,0.3161,
あじさいの開花,金沢,605,51,1974,2024,167.2,-0.18624,-1.862,-0.5612,0.000018,-0.20984,0.05134,0.000165,0.2460,
あじさいの開花,富山,607,65,1953,2024,168.3,-0.01154,-0.115,-0.0433,0.731786,-0.01535,0.04402,0.728430,0.2306,
あじさいの開花,長野,610,40,1984,2024,182.0,-0.38439,-3.844,-0.6598,0.000004,-0.42547,0.10523,0.000257,0.3439,
あじさいの開花,高田,612,34,1974,2007,173.2,0.23529,2.353,0.3495,0.042734,0.23675,0.20977,0.267714,0.5172,sig_to_ns
あじさいの開花,宇都宮,615,41,1983,2024,173.0,-0.24550,-2.455,-0.4116,0.007507,-0.24550,0.09305,0.012014,0.0172,
あじさいの開花,福井,616,43,1982,2024,166.9,-0.18303,-1.830,-0.5167,0.000389,-0.21136,0.06093,0.001265,0.2307,
あじさいの開花,高山,617,53,1953,2005,167.0,0.91050,9.105,0.8584,0.000000,0.90927,0.13768,0.000000,0.5050,
あじさいの開花,松本,618,22,1983,2007,188.8,-0.52686,-5.269,-0.4546,0.033533,-0.69046,0.25239,0.013138,0.0674,
あじさいの開花,前橋,624,39,1979,2024,167.3,-0.18290,-1.829,-0.3694,0.020664,-0.20563,0.10256,0.052540,0.2646,sig_to_ns
あじさいの開花,熊谷,626,50,1953,2023,164.6,0.13255,1.326,0.3906,0.005043,0.08700,0.07994,0.282046,0.4761,sig_to_ns
あじさいの開花,水戸,629,44,1980,2024,172.0,-0.29960,-2.996,-0.5766,0.000042,-0.32146,0.07275,0.000071,0.0701,
あじさいの開花,敦賀,631,23,1983,2005,168.9,-0.31126,-3.113,-0.4310,0.040051,-0.34164,0.15492,0.039309,0.0021,
あじさいの開花,岐阜,632,56,1964,2024,156.3,0.26034,2.603,0.5025,0.000079,0.21662,0.10692,0.047819,0.4837,
あじさいの開花,名古屋,636,39,1982,2024,161.8,0.11374,1.137,0.2511,0.123151,0.05346,0.11546,0.646127,0.4223,
あじさいの開花,飯田,637,52,1953,2006,174.0,0.08453,0.845,0.2741,0.049227,0.07102,0.04709,0.137933,0.0948,sig_to_ns
あじさいの開花,甲府,638,40,1983,2024,171.9,-0.05861,-0.586,-0.0921,0.571803,-0.05704,0.12702,0.656034,0.1594,
あじさいの開花,銚子,648,68,1954,2024,162.8,0.09165,0.916,0.2451,0.043961,0.09156,0.05529,0.102557,0.1790,sig_to_ns
あじさいの開花,津,651,71,1953,2024,159.0,0.00456,0.046,0.0191,0.874070,0.00463,0.03157,0.883932,0.0660,
あじさいの開花,浜松,654,52,1953,2005,161.1,0.07040,0.704,0.1603,0.256423,0.10526,0.08672,0.230637,0.3171,
あじさいの開花,静岡,656,45,1980,2024,164.5,-0.17352,-1.735,-0.4491,0.001973,-0.17135,0.05598,0.003838,0.0162,
あじさいの開花,東京,662,64,1954,2024,156.1,-0.04134,-0.413,-0.1361,0.283448,-0.02545,0.05665,0.654823,0.3448,
あじさいの開花,尾鷲,663,25,1982,2007,164.6,-0.36913,-3.691,-0.3913,0.053090,-0.41700,0.20740,0.056784,0.0569,
あじさいの開花,横浜,670,45,1980,2024,162.6,-0.07589,-0.759,-0.1998,0.188205,-0.08673,0.08559,0.316712,0.3522,
あじさいの開花,館山,672,38,1969,2006,166.1,0.30758,3.076,0.4632,0.003404,0.24608,0.14809,0.105516,0.3596,sig_to_ns
あじさいの開花,大島,675,53,1953,2009,159.7,0.29763,2.976,0.5360,0.000035,0.28519,0.08381,0.001321,0.2042,
あじさいの開花,三宅島,677,18,1983,2000,151.3,0.85243,8.524,0.7622,0.000236,0.70250,0.27377,0.021504,0.3234,
あじさいの開花,八丈島,678,27,1983,2009,154.9,-0.11844,-1.184,-0.1415,0.481477,-0.07997,0.17277,0.647639,-0.0248,
あじさいの開花,西郷,740,26,1983,2008,175.3,-0.23624,-2.362,-0.3818,0.054259,-0.30002,0.15367,0.063170,0.2262,
あじさいの開花,松江,741,43,1982,2024,170.5,-0.11265,-1.127,-0.2825,0.066387,-0.11960,0.07164,0.102847,0.1338,
あじさいの開花,米子,744,29,1980,2008,171.0,0.04975,0.498,0.0803,0.678748,0.05662,0.17310,0.746207,0.2963,
あじさいの開花,鳥取,746,43,1982,2024,168.1,-0.10677,-1.068,-0.2884,0.060738,-0.10480,0.08376,0.218132,0.3511,
あじさいの開花,豊岡,747,28,1980,2007,172.9,-0.18254,-1.825,-0.2727,0.160341,-0.22178,0.14211,0.131180,0.0583,
あじさいの開花,舞鶴,750,30,1983,2012,172.8,-0.19644,-1.964,-0.4181,0.021499,-0.24496,0.07920,0.004568,-0.0207,
あじさいの開花,浜田,755,52,1956,2007,166.2,0.23333,2.333,0.4803,0.000314,0.24067,0.08913,0.009488,0.3415,
あじさいの開花,京都,759,36,1983,2024,163.8,-0.27779,-2.778,-0.6815,0.000005,-0.29987,0.05910,0.000015,0.1121,
あじさいの開花,彦根,761,42,1983,2024,170.4,-0.11539,-1.154,-0.3176,0.040382,-0.13459,0.06520,0.045690,0.1410,
あじさいの開花,下関,762,42,1983,2024,163.2,-0.11863,-1.186,-0.2664,0.088136,-0.17136,0.07409,0.026096,0.1227,ns_to_sig
あじさいの開花,広島,765,42,1982,2024,161.7,-0.18384,-1.838,-0.5461,0.000183,-0.17842,0.04664,0.000460,-0.0011,
あじさいの開花,岡山,768,39,1983,2024,161.4,-0.15107,-1.511,-0.3128,0.052498,-0.21087,0.13561,0.128703,0.4985,
あじさいの開花,神戸,770,42,1983,2024,160.6,-0.23847,-2.385,-0.4612,0.002115,-0.25164,0.07849,0.002687,0.0351,
あじさいの開花,大阪,772,41,1984,2024,157.7,-0.09686,-0.969,-0.2404,0.130055,-0.07814,0.05769,0.183620,-0.1135,
あじさいの開花,洲本,776,22,1981,2002,160.8,-0.10051,-1.005,-0.1532,0.496166,-0.18355,0.19124,0.349227,0.2025,
あじさいの開花,和歌山,777,40,1983,2024,157.8,-0.06192,-0.619,-0.1745,0.281484,-0.07144,0.06350,0.267767,0.0649,
あじさいの開花,潮岬,778,27,1983,2009,158.3,-0.15690,-1.569,-0.1987,0.320509,-0.16114,0.17496,0.366228,0.0454,
あじさいの開花,奈良,780,40,1983,2024,163.8,-0.26021,-2.602,-0.4798,0.001730,-0.31656,0.10431,0.004387,0.2594,
あじさいの開花,厳原,800,41,1965,2009,158.1,0.22116,2.212,0.4970,0.000948,0.24480,0.07204,0.001605,0.1178,
あじさいの開花,福岡,807,42,1983,2024,156.5,-0.20938,-2.094,-0.5530,0.000146,-0.19122,0.05509,0.001282,0.0665,
あじさいの開花,佐賀,813,40,1983,2024,155.7,-0.35705,-3.570,-0.6516,0.000005,-0.37920,0.10097,0.000595,0.3426,
あじさいの開花,大分,815,47,1978,2024,160.2,-0.29093,-2.909,-0.7335,0.000000,-0.28431,0.04517,0.000000,0.0769,
あじさいの開花,長崎,817,62,1963,2024,151.6,0.33799,3.380,0.6982,0.000000,0.25912,0.10018,0.012182,0.6569,
あじさいの開花,熊本,819,42,1981,2024,153.4,-0.19640,-1.964,-0.4036,0.008044,-0.21645,0.11475,0.066730,0.4183,sig_to_ns
あじさいの開花,延岡,822,17,1978,1994,152.5,1.16422,11.642,0.6868,0.002322,1.21273,0.41495,0.011133,0.1425,
あじさいの開花,鹿児島,827,42,1983,2024,151.5,0.27761,2.776,0.5660,0.000094,0.27196,0.08699,0.003337,0.2533,
あじさいの開花,宮崎,830,43,1981,2024,152.0,0.26051,2.605,0.4449,0.002795,0.22497,0.11442,0.056233,0.2899,sig_to_ns
あじさいの開花,屋久島,836,21,1954,1974,141.7,0.50260,5.026,0.5043,0.019729,0.39984,0.27988,0.170245,0.2560,sig_to_ns
あじさいの開花,種子島,837,25,1983,2007,155.9,-0.22692,-2.269,-0.3218,0.116781,-0.37964,0.18760,0.055322,0.2836,
あじさいの開花,福江,843,36,1974,2009,163.3,0.22831,2.283,0.4643,0.004332,0.20284,0.08813,0.027808,0.1218,
あじさいの開花,松山,887,41,1983,2024,158.5,-0.33874,-3.387,-0.5019,0.000827,-0.38542,0.10504,0.000743,0.0963,
あじさいの開花,高松,891,35,1983,2017,161.8,-0.28487,-2.849,-0.6099,0.000101,-0.28807,0.08186,0.001323,0.1789,
あじさいの開花,宇和島,892,47,1953,2005,158.3,0.06852,0.685,0.2084,0.159822,0.08041,0.06009,0.187705,0.1784,
あじさいの開花,高知,893,46,1979,2024,154.7,0.08116,0.812,0.1871,0.213136,0.14400,0.07713,0.068747,0.2398,
あじさいの開花,徳島,895,41,1983,2024,162.6,-0.09168,-0.917,-0.2907,0.065160,-0.08858,0.06834,0.202710,0.2895,
あじさいの開花,名瀬,909,44,1980,2024,152.9,0.19552,1.955,0.2426,0.112533,0.25911,0.17239,0.140490,0.3078,
さるすべりの開花,新庄,520,25,1961,1997,234.8,-0.26132,-2.613,-0.2405,0.246941,-0.25734,0.16066,0.123466,-0.3694,
さるすべりの開花,青森,575,15,2004,2020,242.5,0.50191,5.019,0.2923,0.290371,0.06168,0.43802,0.890358,-0.0608,
さるすべりの開花,八戸,581,17,1987,2007,231.6,-1.12455,-11.246,-0.6336,0.006322,-1.10071,0.63229,0.103633,0.4142,sig_to_ns
さるすべりの開花,秋田,582,47,1973,2020,225.0,-0.09164,-0.916,-0.1436,0.335426,-0.12962,0.09178,0.164903,-0.0375,
さるすべりの開花,盛岡,584,33,1988,2020,216.1,0.08757,0.876,0.0838,0.642942,0.23004,0.18845,0.231695,0.0404,
さるすべりの開花,宮古,585,16,1984,2007,240.0,0.39866,3.987,0.2244,0.403342,0.27621,0.39251,0.494030,-0.2865,
さるすべりの開花,酒田,587,50,1954,2009,227.7,-0.28896,-2.890,-0.3055,0.030959,-0.31504,0.18675,0.098242,0.3250,sig_to_ns
さるすべりの開花,山形,588,62,1953,2020,215.2,-0.34863,-3.486,-0.6605,0.000000,-0.34907,0.05856,0.000000,0.1013,
さるすべりの開花,仙台,590,50,1965,2020,223.8,-0.04795,-0.479,-0.0640,0.658772,-0.02573,0.10553,0.808417,-0.0600,
さるすべりの開花,福島,595,43,1976,2020,208.1,-0.52400,-5.240,-0.5024,0.000596,-0.48938,0.12559,0.000363,-0.1502,
さるすべりの開花,白河,597,45,1953,1997,226.7,-0.18643,-1.864,-0.2149,0.156288,-0.15505,0.10578,0.150149,-0.2263,
さるすべりの開花,小名浜,598,40,1960,2008,221.3,0.18070,1.807,0.2407,0.134598,0.16817,0.14443,0.251741,0.1518,
さるすべりの開花,輪島,600,29,1982,2010,220.4,-0.18670,-1.867,-0.1810,0.347289,-0.24021,0.15631,0.136429,-0.2646,
さるすべりの開花,相川,602,49,1954,2007,222.5,0.24063,2.406,0.3169,0.026517,0.26909,0.11873,0.028172,0.0885,
さるすべりの開花,新潟,604,53,1967,2020,214.0,0.05516,0.552,0.0983,0.483689,0.02588,0.08836,0.770809,0.1000,
さるすべりの開花,金沢,605,56,1965,2020,215.4,-0.06565,-0.657,-0.1252,0.357896,-0.08216,0.06025,0.178449,-0.1884,
さるすべりの開花,富山,607,51,1963,2020,217.6,-0.10112,-1.011,-0.2191,0.122424,-0.06537,0.05524,0.242482,-0.1463,
さるすべりの開花,長野,610,64,1953,2020,215.0,-0.02659,-0.266,-0.0613,0.630114,-0.01304,0.06102,0.831543,0.0825,
さるすべりの開花,高田,612,53,1954,2007,213.8,-0.11223,-1.122,-0.1588,0.256100,-0.09602,0.14140,0.500249,0.3237,
さるすべりの開花,宇都宮,615,67,1953,2020,214.3,-0.00684,-0.068,-0.0126,0.919326,-0.00393,0.06401,0.951206,-0.0797,
さるすべりの開花,福井,616,50,1956,2020,215.5,-0.00952,-0.095,-0.0129,0.929018,0.00425,0.08601,0.960834,-0.2588,
さるすべりの開花,高山,617,29,1976,2005,218.7,-0.04920,-0.492,-0.0473,0.807396,0.03174,0.27525,0.909078,0.2835,
さるすべりの開花,松本,618,43,1964,2007,215.9,-0.03395,-0.340,-0.0422,0.788310,-0.01769,0.15029,0.906897,0.1332,
さるすべりの開花,前橋,624,56,1955,2015,210.1,-0.34535,-3.454,-0.4781,0.000194,-0.33754,0.08381,0.000181,-0.0699,
さるすべりの開花,熊谷,626,50,1954,2020,201.1,-0.43593,-4.359,-0.6970,0.000000,-0.39079,0.05236,0.000000,-0.2029,
さるすべりの開花,水戸,629,64,1953,2020,213.2,-0.03302,-0.330,-0.0590,0.643402,-0.02885,0.07191,0.689617,-0.0179,
さるすべりの開花,敦賀,631,48,1953,2005,214.2,-0.22335,-2.234,-0.3459,0.016049,-0.18763,0.09712,0.059663,0.0585,sig_to_ns
さるすべりの開花,岐阜,632,55,1957,2020,204.9,-0.28395,-2.840,-0.4186,0.001469,-0.24985,0.11363,0.032363,0.2632,
さるすべりの開花,名古屋,636,52,1965,2020,206.5,0.44046,4.405,0.5064,0.000128,0.45278,0.12148,0.000502,0.0948,
さるすべりの開花,飯田,637,54,1953,2006,215.9,-0.16272,-1.627,-0.2820,0.038858,-0.13244,0.07887,0.099220,0.0152,sig_to_ns
さるすべりの開花,甲府,638,41,1978,2020,202.3,0.14782,1.478,0.1488,0.353049,0.28769,0.15676,0.074315,0.0628,
さるすべりの開花,銚子,648,53,1963,2020,221.5,0.17678,1.768,0.2532,0.067403,0.19448,0.11169,0.087788,0.1330,
さるすべりの開花,津,651,65,1953,2020,215.2,-0.19204,-1.920,-0.3347,0.006434,-0.18434,0.06931,0.009943,-0.0140,
さるすべりの開花,浜松,654,44,1954,2005,214.4,-0.32715,-3.271,-0.4025,0.006753,-0.32901,0.11679,0.007420,-0.0324,
さるすべりの開花,静岡,656,48,1963,2020,214.8,0.12555,1.255,0.1668,0.257099,0.13318,0.09466,0.166293,-0.1824,
さるすべりの開花,東京,662,55,1955,2020,198.5,0.02148,0.215,0.0418,0.761932,0.03867,0.07702,0.617710,0.0315,
さるすべりの開花,尾鷲,663,32,1954,2007,217.7,-0.16714,-1.671,-0.1579,0.388092,-0.22018,0.21895,0.322926,-0.0457,
さるすべりの開花,横浜,670,53,1966,2020,213.5,-0.31125,-3.113,-0.3431,0.011890,-0.28222,0.12681,0.030582,0.0320,
さるすべりの開花,館山,672,36,1969,2006,214.8,-0.24989,-2.499,-0.3050,0.070513,-0.34855,0.09690,0.001039,-0.2450,ns_to_sig
さるすべりの開花,大島,675,10,1993,2009,231.4,-0.06681,-0.668,-0.0602,0.868694,0.07638,0.58214,0.899307,0.2997,
さるすべりの開花,八丈島,678,53,1953,2006,204.7,0.17756,1.776,0.2863,0.037665,0.16541,0.12346,0.186364,0.3434,sig_to_ns
さるすべりの開花,西郷,740,45,1964,2008,222.4,-0.18235,-1.823,-0.2609,0.083479,-0.23551,0.09744,0.020073,-0.0498,ns_to_sig
