species,station_id,station_name,n_years,first_year,last_year,mean_doy,ols_slope,ols_decade,ols_r,ols_p,gls_slope,gls_se,gls_p,ar1_rho,gls_transition
うめの開花,八丈島,678,56,1953,2009,27.9,0.09514,0.951,0.1409,0.300464,0.12927,0.11180,0.252785,0.1848,
うめの開花,西郷,740,56,1953,2008,44.6,0.09491,0.949,0.0780,0.567484,0.12174,0.14064,0.390604,-0.1880,
うめの開花,松江,741,61,1953,2024,52.9,0.06380,0.638,0.0152,0.907665,0.04994,0.66888,0.940739,0.1532,
うめの開花,米子,744,54,1954,2008,45.6,-0.17111,-1.711,-0.1684,0.223604,-0.18045,0.14250,0.211174,-0.0126,
うめの開花,鳥取,746,71,1953,2024,39.4,-0.02251,-0.225,-0.0262,0.828434,-0.01541,0.10669,0.885563,0.0028,
うめの開花,豊岡,747,49,1953,2007,61.9,-0.23810,-2.381,-0.2096,0.148423,-0.24332,0.16562,0.148606,-0.0224,
うめの開花,舞鶴,750,61,1953,2013,54.0,0.21063,2.106,0.2369,0.066042,0.22755,0.10121,0.028375,-0.1322,ns_to_sig
うめの開花,浜田,755,46,1957,2007,40.3,-0.23314,-2.331,-0.0681,0.652740,-0.30562,0.52666,0.564745,-0.0260,
うめの開花,京都,759,68,1954,2024,52.2,0.07880,0.788,0.1540,0.209755,0.06708,0.07245,0.357901,0.1232,
うめの開花,彦根,761,72,1953,2024,53.5,0.16144,1.614,0.0614,0.608320,0.13103,0.29480,0.658098,-0.0876,
うめの開花,下関,762,65,1953,2024,29.4,0.04816,0.482,0.0801,0.526107,0.03262,0.08970,0.717324,0.1377,
うめの開花,広島,765,70,1953,2024,37.8,0.19376,1.938,0.2891,0.015217,0.18525,0.10678,0.087363,0.2784,sig_to_ns
うめの開花,岡山,768,72,1953,2024,41.4,0.12629,1.263,0.1877,0.114336,0.11274,0.10516,0.287387,0.2547,
うめの開花,神戸,770,70,1953,2024,46.2,-0.34793,-3.479,-0.5218,0.000004,-0.36508,0.08099,0.000027,0.1371,
うめの開花,大阪,772,47,1961,2024,44.2,0.04551,0.455,0.0552,0.712443,0.18282,0.15227,0.236342,0.1790,
うめの開花,洲本,776,51,1953,2003,69.5,-1.39502,-13.950,-0.1910,0.179445,-0.84553,0.85827,0.329485,-0.1488,
うめの開花,和歌山,777,67,1954,2024,41.3,0.16855,1.686,0.2812,0.021154,0.12097,0.08516,0.160351,0.1805,sig_to_ns
うめの開花,潮岬,778,47,1962,2009,24.6,-0.38687,-3.869,-0.4804,0.000632,-0.41798,0.12356,0.001516,0.1257,
うめの開花,奈良,780,71,1954,2024,46.4,0.37287,3.729,0.1379,0.251317,0.38244,0.28895,0.190094,-0.1370,
