species,station_id,station_name,lat,lon,n_years,first_year,last_year,mean_doy,slope_day_per_year,slope_day_per_decade,r,p
Dryophytes japonicus first call,747,豊岡,35.535,134.8217,11,1953,1963,107.7,1.1182,11.18,0.286,0.393408
Dryophytes japonicus first call,761,彦根,35.275,136.2433,50,1953,2002,101.6,-0.2617,-2.62,-0.383,0.006005
Dryophytes japonicus first call,765,広島,34.3983,132.4617,43,1960,2019,121.5,0.2189,2.19,0.328,0.031836
Dryophytes japonicus first call,768,岡山,34.685,133.925,61,1953,2020,102.0,0.556,5.56,0.718,0.0
Dryophytes japonicus first call,776,洲本,34.31,134.8483,48,1954,2002,98.3,0.2562,2.56,0.256,0.078616
Dryophytes japonicus first call,778,潮岬,33.45,135.7567,32,1962,2003,91.6,0.5388,5.39,0.502,0.003415
Dryophytes japonicus first call,800,厳原,34.1967,129.2917,44,1953,2002,126.6,0.6772,6.77,0.624,6e-06
Dryophytes japonicus first call,807,福岡,33.5817,130.375,23,1953,2002,120.6,0.6427,6.43,0.638,0.001052
Dryophytes japonicus first call,813,佐賀,33.265,130.305,42,1953,2002,107.7,0.2223,2.22,0.198,0.208293
Dryophytes japonicus first call,817,長崎,32.7333,129.8667,10,1953,1962,67.1,-0.6848,-6.85,-0.216,0.54833
Dryophytes japonicus first call,819,熊本,32.8133,130.7067,38,1953,2002,109.8,0.1017,1.02,0.121,0.470034
Dryophytes japonicus first call,827,鹿児島,31.555,130.5467,12,1953,1967,109.4,2.2969,22.97,0.528,0.077549
Dryophytes japonicus first call,836,屋久島,30.385,130.6583,22,1953,1974,72.9,-0.4455,-4.46,-0.118,0.599814
Dryophytes japonicus first call,837,種子島,30.72,130.9817,27,1953,1981,69.5,0.322,3.22,0.172,0.390481
Dryophytes japonicus first call,891,高松,34.3183,134.0533,19,1964,2002,101.2,0.1891,1.89,0.18,0.460517
Dryophytes japonicus first call,895,徳島,34.0667,134.5733,37,1955,2002,99.9,0.2477,2.48,0.206,0.22141
Dryophytes japonicus first sighting,430,函館,41.8167,140.7533,17,1953,1974,130.7,0.6245,6.25,0.42,0.093328
Dryophytes japonicus first sighting,520,新庄,38.7567,140.3117,37,1958,1997,110.9,0.3643,3.64,0.409,0.011942
Dryophytes japonicus first sighting,600,輪島,37.39,136.895,58,1953,2010,95.3,0.3325,3.32,0.492,8.7e-05
Dryophytes japonicus first sighting,607,富山,36.7083,137.2017,57,1953,2017,95.1,0.318,3.18,0.516,3.9e-05
Dryophytes japonicus first sighting,610,長野,36.6617,138.1917,47,1953,2001,102.6,0.1656,1.66,0.242,0.101265
Dryophytes japonicus first sighting,616,福井,36.055,136.2217,10,1990,2002,107.9,-0.383,-3.83,-0.15,0.67889
Dryophytes japonicus first sighting,617,高山,36.155,137.2533,50,1953,2002,116.6,0.2667,2.67,0.486,0.000341
Dryophytes japonicus first sighting,624,前橋,36.405,139.06,37,1953,1992,93.5,0.352,3.52,0.291,0.080508
Dryophytes japonicus first sighting,626,熊谷,36.15,139.38,11,1953,1963,83.0,0.8,8.0,0.351,0.289233
Dryophytes japonicus first sighting,632,岐阜,35.4,136.7617,16,1955,2002,103.6,0.4584,4.58,0.394,0.130584
Dryophytes japonicus first sighting,638,甲府,35.6667,138.5533,50,1953,2017,95.9,0.5777,5.78,0.697,0.0
Dryophytes japonicus first sighting,648,銚子,35.7383,140.8567,37,1980,2020,99.9,0.3167,3.17,0.316,0.056966
Dryophytes japonicus first sighting,651,津,34.7333,136.5183,11,1953,1980,101.3,1.1467,11.47,0.846,0.00102
Dryophytes japonicus first sighting,740,西郷,36.2033,133.3333,54,1953,2008,100.5,0.1501,1.5,0.269,0.049068
Dryophytes japonicus first sighting,768,岡山,34.685,133.925,35,1953,2020,107.8,0.6134,6.13,0.71,2e-06
Dryophytes japonicus first sighting,778,潮岬,33.45,135.7567,18,1976,2002,99.1,-0.5881,-5.88,-0.458,0.056014
Dryophytes japonicus first sighting,780,奈良,34.6733,135.8367,11,1954,1969,93.7,0.6259,6.26,0.645,0.032212
Dryophytes japonicus first sighting,807,福岡,33.5817,130.375,22,1953,2002,121.5,0.84,8.4,0.589,0.00393
Dryophytes japonicus first sighting,813,佐賀,33.265,130.305,15,1953,2001,108.1,0.8729,8.73,0.708,0.003163
Dryophytes japonicus first sighting,819,熊本,32.8133,130.7067,20,1953,2002,104.5,0.2624,2.62,0.373,0.105725
Dryophytes japonicus first sighting,887,松山,33.8433,132.7767,11,1953,1963,75.5,0.1636,1.64,0.078,0.819055
Dryophytes japonicus first sighting,891,高松,34.3183,134.0533,41,1953,2002,86.8,0.4573,4.57,0.533,0.000331
Dryophytes japonicus first sighting,893,高知,33.5667,133.5483,39,1958,2020,92.7,0.4603,4.6,0.396,0.012507
Terpnosia nigricosta first call,418,釧路,42.985,144.3767,36,1961,2001,192.5,-0.5321,-5.32,-0.418,0.011121
Terpnosia nigricosta first call,423,室蘭,42.3117,140.975,16,1955,1971,154.4,0.5778,5.78,0.359,0.172627
Terpnosia nigricosta first call,584,盛岡,39.6983,141.165,12,1953,1965,175.4,1.1947,11.95,0.279,0.379692
Terpnosia nigricosta first call,597,白河,37.1317,140.215,11,1953,1963,152.7,2.0091,20.09,0.713,0.013682
Terpnosia nigricosta first call,598,小名浜,36.9467,140.9033,15,1954,1975,180.7,0.6667,6.67,0.55,0.033622
Terpnosia nigricosta first call,600,輪島,37.39,136.895,46,1953,2000,136.2,0.3848,3.85,0.629,3e-06
Terpnosia nigricosta first call,605,金沢,36.5883,136.6333,48,1953,2016,139.6,0.2864,2.86,0.443,0.001626
Terpnosia nigricosta first call,607,富山,36.7083,137.2017,23,1955,1995,144.0,0.2122,2.12,0.324,0.1309
Terpnosia nigricosta first call,610,長野,36.6617,138.1917,63,1953,2020,143.4,-0.0562,-0.56,-0.12,0.34854
Terpnosia nigricosta first call,612,高田,37.1067,138.2467,53,1953,2007,140.6,0.1057,1.06,0.257,0.06354
Terpnosia nigricosta first call,615,宇都宮,36.5483,139.8683,39,1953,2001,130.4,0.345,3.45,0.555,0.000248
Terpnosia nigricosta first call,616,福井,36.055,136.2217,34,1956,2002,139.3,0.1373,1.37,0.118,0.506266
Terpnosia nigricosta first call,617,高山,36.155,137.2533,50,1953,2002,141.3,0.114,1.14,0.216,0.132724
Terpnosia nigricosta first call,618,松本,36.2467,137.97,44,1953,2002,142.6,-0.0932,-0.93,-0.144,0.352524
Terpnosia nigricosta first call,624,前橋,36.405,139.06,17,1953,1981,150.9,0.7819,7.82,0.391,0.120313
Terpnosia nigricosta first call,631,敦賀,35.6533,136.0617,30,1953,2000,134.7,0.2157,2.16,0.342,0.064682
Terpnosia nigricosta first call,636,名古屋,35.1667,136.965,20,1953,1978,129.0,0.2997,3.0,0.272,0.246821
Terpnosia nigricosta first call,637,飯田,35.5233,137.8217,42,1953,2000,141.7,0.1546,1.55,0.359,0.019392
Terpnosia nigricosta first call,638,甲府,35.6667,138.5533,26,1953,2001,133.2,0.0328,0.33,0.044,0.831881
Terpnosia nigricosta first call,651,津,34.7333,136.5183,46,1953,2020,132.5,0.2616,2.62,0.418,0.003804
Terpnosia nigricosta first call,654,浜松,34.7533,137.7117,31,1953,2000,116.0,0.1675,1.67,0.184,0.322355
Terpnosia nigricosta first call,663,尾鷲,34.0683,136.1933,14,1953,1970,106.4,1.16,11.6,0.794,0.000704
Terpnosia nigricosta first call,741,松江,35.4567,133.065,22,1953,2002,122.8,0.2205,2.2,0.409,0.059004
Terpnosia nigricosta first call,746,鳥取,35.4867,134.2383,50,1953,2002,124.8,-0.0872,-0.87,-0.167,0.247703
Terpnosia nigricosta first call,747,豊岡,35.535,134.8217,11,1953,1963,131.6,0.2273,2.27,0.189,0.577192
Terpnosia nigricosta first call,755,浜田,34.8967,132.07,50,1956,2007,135.0,0.3635,3.64,0.362,0.009778
Terpnosia nigricosta first call,761,彦根,35.275,136.2433,48,1953,2001,134.6,0.1208,1.21,0.187,0.202407
Terpnosia nigricosta first call,765,広島,34.3983,132.4617,11,1953,1964,121.4,-0.6655,-6.65,-0.406,0.215525
Terpnosia nigricosta first call,768,岡山,34.685,133.925,52,1953,2020,126.0,0.1453,1.45,0.421,0.001904
Terpnosia nigricosta first call,770,神戸,34.6967,135.2117,13,1953,1974,133.6,0.3987,3.99,0.301,0.318456
Terpnosia nigricosta first call,776,洲本,34.31,134.8483,49,1953,2002,124.7,-0.0865,-0.86,-0.222,0.125315
Terpnosia nigricosta first call,778,潮岬,33.45,135.7567,47,1962,2009,114.1,-0.1067,-1.07,-0.214,0.148026
Terpnosia nigricosta first call,780,奈良,34.6733,135.8367,58,1954,2019,123.2,0.1982,1.98,0.477,0.000152
Terpnosia nigricosta first call,817,長崎,32.7333,129.8667,10,1953,1962,120.1,-0.1152,-1.15,-0.057,0.87648
Terpnosia nigricosta first call,819,熊本,32.8133,130.7067,14,1953,1978,113.0,0.3939,3.94,0.34,0.234984
Terpnosia nigricosta first call,836,屋久島,30.385,130.6583,22,1953,1974,142.1,-2.3337,-23.34,-0.402,0.063295
Terpnosia nigricosta first call,837,種子島,30.72,130.9817,20,1954,1981,153.9,0.9225,9.23,0.465,0.038834
Terpnosia nigricosta first call,887,松山,33.8433,132.7767,14,1953,1968,119.6,-0.4027,-4.03,-0.18,0.537175
Terpnosia nigricosta first call,891,高松,34.3183,134.0533,41,1953,1998,120.8,0.2966,2.97,0.49,0.001159
Terpnosia nigricosta first call,892,宇和島,33.2267,132.5517,42,1953,2002,115.8,0.2265,2.27,0.354,0.021304
Terpnosia nigricosta first call,893,高知,33.5667,133.5483,39,1955,2020,117.6,0.2511,2.51,0.423,0.007312
Hyalessa maculaticollis first call,520,新庄,38.7567,140.3117,27,1958,1995,221.4,0.2894,2.89,0.387,0.045861
Hyalessa maculaticollis first call,585,宮古,39.6467,141.965,46,1953,2007,221.6,0.2055,2.05,0.316,0.032342
Hyalessa maculaticollis first call,588,山形,38.255,140.345,64,1953,2020,204.5,-0.1435,-1.44,-0.459,0.000136
Hyalessa maculaticollis first call,590,仙台,38.2617,140.8967,63,1955,2020,209.1,-0.0661,-0.66,-0.115,0.371111
Hyalessa maculaticollis first call,595,福島,37.7583,140.47,63,1953,2020,207.0,-0.1367,-1.37,-0.362,0.003578
Hyalessa maculaticollis first call,597,白河,37.1317,140.215,13,1953,1965,207.6,0.3462,3.46,0.311,0.300561
Hyalessa maculaticollis first call,598,小名浜,36.9467,140.9033,54,1953,2008,209.4,0.2765,2.77,0.411,0.002048
Hyalessa maculaticollis first call,600,輪島,37.39,136.895,58,1953,2010,215.3,0.3044,3.04,0.684,0.0
Hyalessa maculaticollis first call,602,相川,38.0283,138.24,54,1953,2007,209.6,-0.1544,-1.54,-0.443,0.000801
Hyalessa maculaticollis first call,604,新潟,37.8933,139.0183,14,1967,2000,212.4,0.8708,8.71,0.626,0.016682
Hyalessa maculaticollis first call,605,金沢,36.5883,136.6333,67,1953,2020,217.7,0.1149,1.15,0.302,0.013133
Hyalessa maculaticollis first call,607,富山,36.7083,137.2017,51,1956,2018,218.3,0.0754,0.75,0.156,0.274155
Hyalessa maculaticollis first call,610,長野,36.6617,138.1917,68,1953,2020,202.8,-0.1022,-1.02,-0.365,0.002241
Hyalessa maculaticollis first call,612,高田,37.1067,138.2467,11,1953,1963,219.1,-0.2545,-2.55,-0.203,0.549351
Hyalessa maculaticollis first call,615,宇都宮,36.5483,139.8683,64,1953,2020,216.4,-0.0592,-0.59,-0.189,0.135684
Hyalessa maculaticollis first call,616,福井,36.055,136.2217,45,1964,2020,216.3,0.1678,1.68,0.38,0.009989
Hyalessa maculaticollis first call,617,高山,36.155,137.2533,50,1953,2002,205.6,0.0594,0.59,0.113,0.43485
Hyalessa maculaticollis first call,618,松本,36.2467,137.97,55,1953,2007,206.4,-0.1707,-1.71,-0.443,0.000705
Hyalessa maculaticollis first call,624,前橋,36.405,139.06,61,1953,2020,215.2,0.0893,0.89,0.2,0.121745
Hyalessa maculaticollis first call,626,熊谷,36.15,139.38,67,1953,2020,206.2,-0.2055,-2.06,-0.495,2.1e-05
Hyalessa maculaticollis first call,629,水戸,36.38,140.4667,67,1953,2020,209.4,0.0108,0.11,0.032,0.799002
Hyalessa maculaticollis first call,631,敦賀,35.6533,136.0617,13,1953,1968,219.5,-0.0027,-0.03,-0.002,0.995541
Hyalessa maculaticollis first call,637,飯田,35.5233,137.8217,54,1953,2006,213.1,0.2045,2.05,0.422,0.001469
Hyalessa maculaticollis first call,638,甲府,35.6667,138.5533,62,1953,2020,204.2,-0.1519,-1.52,-0.33,0.008768
Hyalessa maculaticollis first call,648,銚子,35.7383,140.8567,60,1953,2020,211.1,-0.1145,-1.15,-0.392,0.00193
Hyalessa maculaticollis first call,651,津,34.7333,136.5183,21,1953,1980,205.5,0.0275,0.28,0.048,0.836349
Hyalessa maculaticollis first call,656,静岡,34.975,138.4033,16,1954,2016,220.8,0.3243,3.24,0.436,0.091446
Hyalessa maculaticollis first call,662,東京,35.6917,139.75,24,1996,2020,202.0,0.0226,0.23,0.032,0.883658
Hyalessa maculaticollis first call,670,横浜,35.4383,139.6517,67,1953,2020,205.3,-0.1711,-1.71,-0.423,0.000356
Hyalessa maculaticollis first call,672,館山,34.9867,139.865,26,1978,2006,213.8,-0.7075,-7.08,-0.668,0.000191
Hyalessa maculaticollis first call,675,大島,34.7483,139.3617,50,1953,2009,208.1,0.0901,0.9,0.112,0.437074
Hyalessa maculaticollis first call,740,西郷,36.2033,133.3333,12,1953,1964,204.2,-0.3007,-3.01,-0.15,0.641417
Hyalessa maculaticollis first call,741,松江,35.4567,133.065,45,1953,2020,206.0,-0.1714,-1.71,-0.518,0.000272
Hyalessa maculaticollis first call,746,鳥取,35.4867,134.2383,42,1953,2002,214.9,0.1157,1.16,0.214,0.172984
Hyalessa maculaticollis first call,747,豊岡,35.535,134.8217,11,1953,1963,203.8,0.1909,1.91,0.08,0.816167
Hyalessa maculaticollis first call,755,浜田,34.8967,132.07,52,1956,2007,202.6,-0.1491,-1.49,-0.393,0.003988
Hyalessa maculaticollis first call,761,彦根,35.275,136.2433,11,1953,1963,208.1,-1.4182,-14.18,-0.796,0.003359
Hyalessa maculaticollis first call,768,岡山,34.685,133.925,18,1953,1974,208.9,-0.2965,-2.97,-0.301,0.224814
Hyalessa maculaticollis first call,770,神戸,34.6967,135.2117,35,1953,2002,206.1,0.1423,1.42,0.361,0.033311
Hyalessa maculaticollis first call,776,洲本,34.31,134.8483,48,1953,2002,206.3,-0.0097,-0.1,-0.025,0.866873
Hyalessa maculaticollis first call,780,奈良,34.6733,135.8367,16,1954,1970,208.8,0.4298,4.3,0.13,0.630202
Hyalessa maculaticollis first call,800,厳原,34.1967,129.2917,47,1953,2002,215.0,0.1454,1.45,0.28,0.056224
Hyalessa maculaticollis first call,807,福岡,33.5817,130.375,10,1953,1962,204.9,1.3152,13.15,0.41,0.239911
Hyalessa maculaticollis first call,817,長崎,32.7333,129.8667,10,1953,1962,199.8,-1.697,-16.97,-0.621,0.05523
Hyalessa maculaticollis first call,893,高知,33.5667,133.5483,39,1981,2020,193.5,0.071,0.71,0.124,0.453474
