species,station_id,station_name,lat,lon,n_years,first_year,last_year,mean_doy,slope_day_per_year,slope_day_per_decade,r,p
Meimuna opalifera first call,651,津,34.7333,136.5183,24,1953,1980,230.5,-0.4383,-4.38,-0.463,0.022577
Meimuna opalifera first call,654,浜松,34.7533,137.7117,52,1953,2005,218.7,0.1253,1.25,0.292,0.035646
Meimuna opalifera first call,656,静岡,34.975,138.4033,61,1953,2020,209.5,0.1079,1.08,0.225,0.080623
Meimuna opalifera first call,662,東京,35.6917,139.75,17,1953,1977,219.4,-0.4943,-4.94,-0.591,0.012431
Meimuna opalifera first call,663,尾鷲,34.0683,136.1933,30,1953,2007,224.0,0.3699,3.7,0.655,8.6e-05
Meimuna opalifera first call,670,横浜,35.4383,139.6517,66,1953,2020,221.9,-0.2249,-2.25,-0.414,0.000554
Meimuna opalifera first call,672,館山,34.9867,139.865,25,1980,2006,214.1,-0.0337,-0.34,-0.027,0.898476
Meimuna opalifera first call,675,大島,34.7483,139.3617,55,1953,2009,207.4,0.0778,0.78,0.199,0.145697
Meimuna opalifera first call,677,三宅島,34.1233,139.52,44,1953,2000,194.7,0.1534,1.53,0.237,0.121809
Meimuna opalifera first call,678,八丈島,33.1217,139.7783,57,1953,2009,184.9,0.3303,3.3,0.576,3e-06
Meimuna opalifera first call,740,西郷,36.2033,133.3333,11,1953,1963,203.2,0.0182,0.18,0.01,0.976972
Meimuna opalifera first call,741,松江,35.4567,133.065,45,1953,2020,220.6,-0.0305,-0.31,-0.109,0.475801
Meimuna opalifera first call,746,鳥取,35.4867,134.2383,43,1953,2002,219.0,0.0044,0.04,0.011,0.942148
Meimuna opalifera first call,755,浜田,34.8967,132.07,51,1956,2007,215.9,-0.0043,-0.04,-0.012,0.932399
Meimuna opalifera first call,759,京都,35.0133,135.7317,41,1954,2002,227.4,-0.0165,-0.17,-0.033,0.836871
Meimuna opalifera first call,761,彦根,35.275,136.2433,49,1953,2002,219.6,0.1083,1.08,0.245,0.089613
Meimuna opalifera first call,762,下関,33.9483,130.925,11,1953,1963,213.8,0.9455,9.45,0.398,0.224957
Meimuna opalifera first call,765,広島,34.3983,132.4617,68,1953,2020,211.7,-0.2694,-2.69,-0.505,1.1e-05
Meimuna opalifera first call,768,岡山,34.685,133.925,61,1954,2020,201.6,-0.2655,-2.66,-0.544,6e-06
Meimuna opalifera first call,770,神戸,34.6967,135.2117,50,1953,2002,219.1,-0.0506,-0.51,-0.105,0.468765
Meimuna opalifera first call,776,洲本,34.31,134.8483,50,1953,2002,216.6,-0.0197,-0.2,-0.053,0.716728
Meimuna opalifera first call,777,和歌山,34.2283,135.1633,66,1953,2020,225.5,-0.2828,-2.83,-0.456,0.000118
Meimuna opalifera first call,778,潮岬,33.45,135.7567,47,1962,2009,228.8,0.1329,1.33,0.222,0.134242
Meimuna opalifera first call,780,奈良,34.6733,135.8367,66,1954,2020,218.2,-0.1627,-1.63,-0.423,0.000402
Meimuna opalifera first call,800,厳原,34.1967,129.2917,48,1953,2002,199.7,0.0551,0.55,0.141,0.340007
Meimuna opalifera first call,807,福岡,33.5817,130.375,45,1953,2002,220.7,-0.1729,-1.73,-0.254,0.091819
Meimuna opalifera first call,813,佐賀,33.265,130.305,50,1953,2002,217.6,-0.0095,-0.1,-0.019,0.895463
Meimuna opalifera first call,815,大分,33.235,131.6183,10,1954,1969,220.5,-0.3554,-3.55,-0.289,0.417982
Meimuna opalifera first call,817,長崎,32.7333,129.8667,50,1953,2002,196.5,-0.2326,-2.33,-0.44,0.001382
Meimuna opalifera first call,819,熊本,32.8133,130.7067,50,1953,2002,209.0,-0.0783,-0.78,-0.115,0.424548
Meimuna opalifera first call,827,鹿児島,31.555,130.5467,38,1962,2002,218.8,-0.5346,-5.35,-0.509,0.001098
Meimuna opalifera first call,836,屋久島,30.385,130.6583,22,1953,1974,209.3,0.074,0.74,0.087,0.700402
Meimuna opalifera first call,837,種子島,30.72,130.9817,24,1954,1981,188.5,0.5454,5.45,0.618,0.001294
Meimuna opalifera first call,887,松山,33.8433,132.7767,48,1953,2002,212.9,-0.3548,-3.55,-0.531,0.000105
Meimuna opalifera first call,892,宇和島,33.2267,132.5517,53,1953,2005,200.1,0.0418,0.42,0.082,0.559314
Meimuna opalifera first call,893,高知,33.5667,133.5483,47,1955,2020,213.4,0.0572,0.57,0.125,0.404203
Meimuna opalifera first call,895,徳島,34.0667,134.5733,16,1953,2002,226.4,-0.2875,-2.88,-0.484,0.057193
Meimuna opalifera first call,940,名護,26.5933,127.965,11,1982,1992,242.3,0.0636,0.64,0.04,0.907007
Takydromus tachydromoides first sighting,428,江差,41.8667,140.1233,11,1953,1963,119.1,-1.9636,-19.64,-0.777,0.004917
Takydromus tachydromoides first sighting,588,山形,38.255,140.345,28,1953,2000,101.2,0.2897,2.9,0.362,0.058529
Takydromus tachydromoides first sighting,605,金沢,36.5883,136.6333,44,1953,2002,104.7,0.1216,1.22,0.12,0.436694
Takydromus tachydromoides first sighting,615,宇都宮,36.5483,139.8683,52,1954,2015,112.3,0.0493,0.49,0.093,0.512538
Takydromus tachydromoides first sighting,617,高山,36.155,137.2533,50,1953,2002,114.0,-0.2765,-2.77,-0.341,0.015416
Takydromus tachydromoides first sighting,624,前橋,36.405,139.06,38,1953,1997,100.1,0.025,0.25,0.022,0.893856
Takydromus tachydromoides first sighting,636,名古屋,35.1667,136.965,12,1954,2000,92.8,-0.1299,-1.3,-0.102,0.751477
Takydromus tachydromoides first sighting,637,飯田,35.5233,137.8217,40,1953,2000,100.6,0.2098,2.1,0.222,0.167919
Takydromus tachydromoides first sighting,638,甲府,35.6667,138.5533,48,1953,2017,91.7,0.6114,6.11,0.68,0.0
Takydromus tachydromoides first sighting,648,銚子,35.7383,140.8567,58,1955,2020,108.7,-0.0109,-0.11,-0.012,0.929638
Takydromus tachydromoides first sighting,651,津,34.7333,136.5183,22,1953,1980,93.2,-0.3204,-3.2,-0.238,0.286945
Takydromus tachydromoides first sighting,654,浜松,34.7533,137.7117,48,1954,2005,97.6,-0.0384,-0.38,-0.038,0.797117
Takydromus tachydromoides first sighting,656,静岡,34.975,138.4033,41,1953,2015,101.9,0.262,2.62,0.277,0.079259
Takydromus tachydromoides first sighting,663,尾鷲,34.0683,136.1933,11,1953,1964,86.2,-0.5822,-5.82,-0.183,0.589541
